Date	Price	Open	High	Low	Change
Mar 11	44.535	45.260	45.362	44.500	-1.61%
Apr 11	44.255	44.480	44.695	43.882	-0.63%
May 11	45.060	44.210	45.428	44.140	1.82%
Jun 11	44.700	45.000	45.140	44.520	-0.80%
Jul 11	44.210	44.650	44.760	43.850	-1.10%
Aug 11	45.800	44.100	46.215	43.960	3.60%
Sep 11	49.020	45.740	49.885	45.650	7.03%
Oct 11	48.695	48.960	50.320	48.530	-0.66%
Nov 11	52.130	48.590	52.725	48.590	7.05%
Dec 11	53.015	52.090	54.320	50.940	1.70%
Jan 12	49.515	53.255	53.340	49.232	-6.60%
Feb 12	49.110	49.500	49.760	48.600	-0.82%
Mar 12	50.875	49.005	51.485	49.005	3.59%
Apr 12	52.665	50.840	52.865	50.509	3.52%
Apr 12	52.666	52.615	52.745	52.455	0.00%
May 12	56.040	52.730	56.520	52.480	6.41%
May 12	55.886	52.666	59.935	52.550	-0.28%
Jun 12	55.510	56.075	57.325	54.820	-0.67%
Jun 12	55.511	55.910	57.335	54.800	0.00%
Jul 12	55.560	55.480	56.430	54.170	0.09%
Jul 12	55.605	55.511	56.436	54.175	0.08%
Aug 12	55.525	55.650	56.195	54.955	-0.14%
Aug 12	55.526	55.605	56.201	54.910	0.00%
Sep 12	52.855	55.523	56.025	52.490	-4.81%
Sep 12	52.885	55.526	56.026	52.495	0.06%
Oct 12	53.805	52.820	54.204	51.350	1.74%
Oct 12	53.800	52.885	54.206	51.365	-0.01%
Nov 12	54.265	53.800	55.880	53.597	0.86%
Nov 12	54.285	53.791	55.875	53.607	0.04%
Dec 12	54.995	54.350	55.280	54.015	1.31%
Dec 12	54.741	54.265	55.276	54.030	-0.46%
Jan 13	53.275	54.990	55.380	53.060	-2.68%
Jan 13	53.289	54.741	55.382	53.076	0.03%
Feb 13	54.370	53.210	54.610	52.880	2.03%
Feb 13	54.146	53.293	54.421	52.890	-0.41%
Mar 13	54.285	54.360	55.130	53.890	0.26%
Apr 13	53.685	54.260	54.940	53.650	-1.11%
May 13	56.580	53.800	56.760	53.630	5.39%
Jun 13	59.533	56.500	60.760	56.300	5.22%
Jul 13	60.855	59.460	61.210	58.693	2.22%
Aug 13	65.705	60.750	68.800	60.225	7.97%
Sep 13	62.590	66.100	68.600	61.645	-4.74%
Oct 13	61.624	62.550	62.560	60.930	-1.54%
Nov 13	62.399	61.500	63.900	61.500	1.26%
